3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
57: borrachos | se encuentran dos borrachos en una sala velatoria y ven entrar a un viejito de unos 80 años en silla de ruedas, entonces uno le dice al otro: ¿sabes como le dicen al viejo? ¿como? pelicula nueva. ¿por que? proximamente en esta sala.  
2643: adivinanzas | ¿en que se parece un amigo a un encendedor?en que siempre fallan cuando mas se les necesita 
1222: colmos | ¿cual es el colmo de un peluquero?cortarle el pelo a un calvo 
4692: matrimonios | alimento letal un nutricionista estaba una vez dirigiendose a una gran audiencia en chicago.  el material que ponemos en nuestros estomagos es suficiente para habernos matado a la mayoria de los que estamos sentados aqui años atras.  la carne roja es terrible. los vegetales pueden ser desastrosos y ninguno de nosotros se da cuenta de los germenes que hay en nuestra agua potable.  pero hay una cosa que es la mas peligrosa de todas las que comemos. ¿puede alguien aqui decirme a que producto letal me estoy refiriendo?  usted señor, el primero de la fila, por favor diganos su idea.  el hombre bajo su cabeza y dijo: el pastel de bodas.  
6946: atlantes | una vez estaban muchos atlantes reunidos en una junta, ya que estaban cansados que todos los chistes sean acerca de ellos. en eso, el lider dice:¡ya estamos cansados de que hagan chistes de atlantes! ¡si! grita toda la gente. ¡ya no queremos que todos los chistes sean acerca de nosotros! ¡si! ¡viva! ¡no mas chistes de nosotros! y para celebrar, que alguien cuente un chiste que no sea de atlantes. en eso, entre toda la gente se levanta un hombre y dice: este bien, que tal este, estaban dos japoneses, uno se llamaba manolo y el otro venancio.. 
101: borrachos | llega un borracho a las 3:30 de la madrugada tambaleandose a su casa, y su mujer lo espera en la puerta:¡muy bonito, mire, esas horas de llegar! ¿y que mas quiere, si es el unico lugar abierto? responde el borracho.  
8151: bares | se encuentra un señor a una muchacha en una discoteca y le dice:  muchacha que bella se ve usted con dos tragos adentro. la muchacha se quedo un poco extrañada, y le dice: ¡pero si yo no estoy tomando! y le contesta el señor: si, ¡pero yo si 
3837: locos | habia 2 locos en un manicomio y deciden disfrazarse de caramelos y salir a la calle. un oficial los encuentra y a uno le dice:¿usted esta de mente? no, el esta de mente, yo estoy de chocolate 
7826: una_linea | ¿que es un patito?donde como mi chopita 
5024: niños | desde que se entero que su mama iba a tener un hijo, un niño todos los dias le decia a su maestra que iba tener un hermanito o una hermanita.un dia su mama le dijo al niño que se acercara para poder sentir que el bebe se movia dentro de su estomago, y el niño se sorprendio muchisimo, y desde ese dia no paro de comentar a su maestra lo de su hermanita o hermanito. un dia la maestra le pregunta al niño: ¿y que paso con tu hermanito que esperaban en tu casa? y el niño se puso a llorar y le confeso: ¡creo que mi mama se lo comio!  
